"","Exp","model","NSub","mpredRP_err","mpredVar_err","mpredRP_rerr","mpredVar_rerr","mpredcv_rerr","mpredcv_err","version"
"1","Exp1","DIM",1,0.0108334102376755,-0.0191014627658736,0.0512778833299609,0.3830462405019,0.372775607495782,0.00285131168807392,"logarithmic"
"2","Exp1","DIM",2,0.00838151561798505,-0.000992264985338928,0.0542404976231416,0.399973087135665,0.375305172871511,0.00544081419945749,"logarithmic"
"3","Exp1","DIM",3,0.0201310327181787,-0.0269721020898168,0.0408848126310352,0.251636910906923,0.273810994634477,-0.0185354317277537,"logarithmic"
"4","Exp1","DIM",4,-0.0116761735411301,0.00217814524103488,0.037258742004371,0.340419835075767,0.360258563957448,0.0248757601539005,"logarithmic"
"5","Exp1","DIM",5,0.0215502546167509,-0.0789204610903177,0.0408706725899699,0.307825581137086,0.311331549377447,-0.0799501580800594,"logarithmic"
"6","Exp1","DIM",6,0.00467951068249776,-0.0480537124994459,0.0710902315700384,0.275831140543951,0.296015922655119,-0.0491928761138094,"logarithmic"
"7","Exp1","DIM",7,0.00602859755964235,-0.0150497756269234,0.0641520023611727,0.342055110529893,0.303135145328046,-0.0221841072054343,"logarithmic"
"8","Exp1","DIM",8,0.0249138046884699,-0.0688195812612454,0.0782347818519669,0.351001513939355,0.367863465426657,-0.0728958283015794,"logarithmic"
"9","Exp1","DIM",9,-0.0124189577421327,0.000702495229765998,0.0314146126827931,0.169540387297889,0.199970641260786,0.00572443924284755,"logarithmic"
"10","Exp1","DIM",10,-0.000977435071272811,0.0246100061261721,0.0329757444278979,0.427057742454584,0.455168845576811,0.046886161441559,"logarithmic"
"11","Exp1","DIM",11,0.0162964629943545,-0.0165539036949627,0.0683998150017133,0.203683109946255,0.166286132020003,-0.015329631928658,"logarithmic"
"12","Exp1","DIM",12,-0.00294378249204446,0.00894603614066521,0.0324595067020333,0.333553581794634,0.347690821080219,0.0105173578720923,"logarithmic"
"13","Exp1","DIM",13,-0.0430665427075984,0.0220449515349701,0.0443429862231104,0.296242617895874,0.33613967642707,0.0191213268900862,"logarithmic"
"14","Exp1","DIM",14,-0.0101684804195227,0.0131023552379281,0.0437957147693378,0.284221652502952,0.292601816319163,0.0156701689782136,"logarithmic"
"15","Exp1","DIM",15,0.0260314458800054,-0.0523032592348924,0.0441203910272484,0.215485600381117,0.22287726450193,-0.0469078580125051,"logarithmic"
"16","Exp1","DIM",16,0.0123503917601817,-0.0216042629659766,0.0667686282159558,0.211108311778897,0.173700976284068,-0.0234933540675617,"logarithmic"
"17","Exp1","LGM",1,0.0113323654760004,-0.0218641797170385,0.0622378879070493,0.241180306689293,0.228477073348945,-0.0116252657262745,"logarithmic"
"18","Exp1","LGM",2,0.00411191039446878,0.0105238444218345,0.0745534539572164,0.385370241554686,0.335669467084463,0.00548320500999624,"logarithmic"
"19","Exp1","LGM",3,0.0281315097966893,-0.0236378488956695,0.0584557422786401,0.219681661614565,0.26321968776788,-0.0198157069875737,"logarithmic"
"20","Exp1","LGM",4,-0.0148489527480632,0.0165690988856961,0.0570013707671164,0.176119324619202,0.190575384912383,0.0165329355835746,"logarithmic"
"21","Exp1","LGM",5,0.0278214432359587,-0.0703478452417857,0.0517660671936891,0.29734831687937,0.309894857976678,-0.0825226459258211,"logarithmic"
"22","Exp1","LGM",6,0.00801532288679765,-0.0439103755111318,0.0866401550286458,0.27834595353673,0.286107675787139,-0.0531829918928436,"logarithmic"
"23","Exp1","LGM",7,0.000954898520872708,-0.00874859874355154,0.0797557658859689,0.321214969986687,0.311214870642653,-0.0247291014299505,"logarithmic"
"24","Exp1","LGM",8,0.0418832615973095,-0.0659047993850806,0.100320842279402,0.346500056856773,0.373298798432286,-0.0750679915925599,"logarithmic"
"25","Exp1","LGM",9,-0.0222807382672014,0.00256021029350954,0.0269740667047628,0.159648939113904,0.176045564992204,0.00141432768868275,"logarithmic"
"26","Exp1","LGM",10,0.000975426426417751,0.0213205921756549,0.021111418151315,0.250162123057831,0.263226587034186,0.0252496954585212,"logarithmic"
"27","Exp1","LGM",11,0.0170492247559237,-0.00273038364055836,0.0863442370062655,0.190313226034956,0.166936396266224,-0.00994078082897207,"logarithmic"
"28","Exp1","LGM",12,-0.004000169089358,0.0410467571622248,0.0383664810369788,0.492415443771664,0.499582840534364,0.0333327737132042,"logarithmic"
"29","Exp1","LGM",13,-0.0577832575927707,0.0472533737160318,0.0461320136506664,0.435017576586637,0.497128936199335,0.0346882446353007,"logarithmic"
"30","Exp1","LGM",14,-0.0156480259861262,0.0314437758700249,0.0421280100115665,0.357055382421223,0.365084303412933,0.0217380866316866,"logarithmic"
"31","Exp1","LGM",15,0.0342061410539941,-0.0396680156933519,0.0473832231829816,0.189855783866705,0.20560735490074,-0.0440742491632475,"logarithmic"
"32","Exp1","LGM",16,0.0303483239835349,-0.0109718768582132,0.0858772138557973,0.254026205480615,0.259463192206381,-0.0280690000901232,"logarithmic"
"33","Exp1","PIM",1,0.0111419943621561,-0.021893059950152,0.0621302806796987,0.241178898303507,0.22848575440039,-0.0116276577012495,"logarithmic"
"34","Exp1","PIM",2,0.00403210755591908,0.0105070692950636,0.074577424891944,0.38530301300049,0.335638905775809,0.00547711017954379,"logarithmic"
"35","Exp1","PIM",3,0.0277304156291065,-0.0237402600629712,0.0581992960487691,0.219930239227298,0.263261381218027,-0.0198541690234424,"logarithmic"
"36","Exp1","PIM",4,-0.0148699045782243,0.0165764385853357,0.0569916780156147,0.176153951482058,0.190636058876141,0.0165417135480859,"logarithmic"
"37","Exp1","PIM",5,0.0277773317768494,-0.0703702357615763,0.0517366963989343,0.297415905967188,0.309946910357821,-0.0825346584827577,"logarithmic"
"38","Exp1","PIM",6,0.00807364370468293,-0.043915926871152,0.0866554059147208,0.278371986473434,0.286174472337131,-0.0531925818023942,"logarithmic"
"39","Exp1","PIM",7,0.00101466499697875,-0.00873748173257006,0.0797520060101639,0.321243301023305,0.311221151122231,-0.0247248347270054,"logarithmic"
"40","Exp1","PIM",8,0.0416310008054737,-0.0659559123069903,0.100225453544096,0.346733469478942,0.373389145772615,-0.0750840302526769,"logarithmic"
"41","Exp1","PIM",9,-0.0223360449653732,0.00255618518486317,0.026974599502045,0.159644534956926,0.176044885512991,0.00141707697833957,"logarithmic"
"42","Exp1","PIM",10,0.00106229048544715,0.0213303034869145,0.0210976285627476,0.250196758042572,0.263248916925839,0.0252533579908007,"logarithmic"
"43","Exp1","PIM",11,0.0169997393554354,-0.00271617016010715,0.0862936424978244,0.190348532931713,0.166939945153771,-0.0099261376874234,"logarithmic"
"44","Exp1","PIM",12,-0.00384654174729421,0.0410831953933487,0.0383801928081949,0.492598004813138,0.499707640529876,0.0333479756447652,"logarithmic"
"45","Exp1","PIM",13,-0.0578260668339801,0.0472514857615977,0.0461410373439825,0.434995636105282,0.497162906799241,0.0346921016758263,"logarithmic"
"46","Exp1","PIM",14,-0.0154693927480018,0.0314554283661235,0.0421263252339284,0.357136834058202,0.364992091735526,0.0217222200058563,"logarithmic"
"47","Exp1","PIM",15,0.0339850707147518,-0.0397072314689179,0.0473314257077098,0.190003445775975,0.20561841604334,-0.044076406219234,"logarithmic"
"48","Exp1","PIM",16,0.0298610458364645,-0.0110453665031648,0.08571321098125,0.253751457343913,0.259430687692473,-0.0280771063815927,"logarithmic"
"49","Exp2","DIM",1,0.00696105757067519,0.0136349490589209,0.025659523302356,0.290312834516346,0.297817741957148,0.0202357599279256,"logarithmic"
"50","Exp2","DIM",2,0.00489893963280055,0.0101219336023106,0.0242011305452626,0.263642606483051,0.275241701023881,0.0104673813457046,"logarithmic"
"51","Exp2","DIM",3,0.0210364990353453,-0.0389234664667814,0.0437365674924489,0.238409772576919,0.251654602480971,-0.0367781788594263,"logarithmic"
"52","Exp2","DIM",4,-0.0160920132982114,0.00778801856426228,0.0226107635629951,0.140694603827504,0.161183145470607,0.011732693760486,"logarithmic"
"53","Exp2","DIM",5,0.0068002740990141,-0.000948818433907459,0.0323298018295649,0.183140039215618,0.173597344643976,-0.00615712277635953,"logarithmic"
"54","Exp2","DIM",6,0.0119128531497461,-0.0823515902292293,0.0518273818579378,0.323524474238363,0.332933496390355,-0.0730509070898445,"logarithmic"
"55","Exp2","DIM",7,0.0100693702332522,-0.0257753519728793,0.0396989714564299,0.235185970216644,0.223220925295931,-0.0212552306296504,"logarithmic"
"56","Exp2","DIM",8,0.0314741477229538,-0.0752453367444315,0.0733092777148134,0.280494440608571,0.295577991023093,-0.0713768478659649,"logarithmic"
"57","Exp2","DIM",9,0.022104088713525,0.0238968296643874,0.0298696276077448,0.551351416840905,0.556093469944577,0.0433635971682637,"logarithmic"
"58","Exp2","DIM",10,0.00775676101349492,-0.0272862793173264,0.0635904186941796,0.246555925500445,0.259719499927149,-0.0123266630001124,"logarithmic"
"59","Exp2","DIM",11,0.0142149509289967,-0.0446809729659767,0.062525617602177,0.288755322742087,0.302969865954592,-0.0479412346149177,"logarithmic"
"60","Exp2","DIM",12,0.00280848548599841,-0.00391872000910064,0.0228333795255397,0.193330816957712,0.184256735960272,0.00111984442222041,"logarithmic"
"61","Exp2","DIM",13,0.0104809841735462,-0.0888382619789252,0.0636903825585565,0.441526111266448,0.440287007233228,-0.0763399626989162,"logarithmic"
"62","Exp2","DIM",14,0.00899897979120601,-0.0210708965244939,0.049345994547923,0.207987763048533,0.219119522675779,-0.0167769203067106,"logarithmic"
"63","Exp2","DIM",15,0.0048883238724786,-0.0276008976112359,0.0360898327199603,0.26713513363966,0.260790013676391,-0.0305955880222933,"logarithmic"
"64","Exp2","DIM",16,0.0124677495948802,-0.0270577356058629,0.0429784135025294,0.198176047943084,0.205669402369356,-0.0245354186211547,"logarithmic"
"65","Exp2","LGM",1,0.00375595391378227,0.0545863437843647,0.0294613696603775,0.622370679868163,0.629373021117232,0.0463765120727182,"logarithmic"
"66","Exp2","LGM",2,-0.00699756632069362,0.0275284058916014,0.022973587295952,0.317809754583013,0.343520223383613,0.0223337769861885,"logarithmic"
"67","Exp2","LGM",3,0.0258510956199324,-0.0368961106355611,0.0426430177867976,0.22900929279403,0.236688495538643,-0.0379197443707087,"logarithmic"
"68","Exp2","LGM",4,-0.0143901245912596,0.025779455663197,0.0245893784137869,0.247457721135378,0.26272280329547,0.0171562194392317,"logarithmic"
"69","Exp2","LGM",5,0.00329172952614054,0.0166100520235575,0.0343249254911239,0.284945188913634,0.27188860555985,0.00264749561957093,"logarithmic"
"70","Exp2","LGM",6,0.0224198915797354,-0.0920448511175353,0.056810424027799,0.373028111694431,0.387910394809785,-0.0858395750429445,"logarithmic"
"71","Exp2","LGM",7,0.0111575321068749,-0.0282685149513409,0.0411027061624543,0.212652663572997,0.19346094875957,-0.0263945284040875,"logarithmic"
"72","Exp2","LGM",8,0.0489692612124523,-0.0811117009899624,0.0823008018583488,0.323715804838427,0.347120257379106,-0.081791403541759,"logarithmic"
"73","Exp2","LGM",9,0.0196495869500806,0.0275419461438377,0.0265552059183008,0.448997582533968,0.437068644044227,0.0332215772220157,"logarithmic"
"74","Exp2","LGM",10,0.0102240678798853,-0.0263295986206063,0.0534817275898467,0.154447915629337,0.160794382010052,-0.0209606577309366,"logarithmic"
"75","Exp2","LGM",11,0.0217364903293155,-0.0421966422789743,0.0726223018941998,0.290462921902982,0.313351374177448,-0.0490097656574364,"logarithmic"
"76","Exp2","LGM",12,0.00194197903853063,0.00937545705658806,0.0357448318145747,0.181965578103583,0.168634605411965,0.00806680679775229,"logarithmic"
"77","Exp2","LGM",13,0.0194081575671445,-0.098714313022849,0.0705727477578827,0.50617577870166,0.50980887744317,-0.087294187081558,"logarithmic"
"78","Exp2","LGM",14,0.0166777318729842,-0.0287458280481934,0.0541500653587887,0.196987547377375,0.199926179228913,-0.0296132588308037,"logarithmic"
"79","Exp2","LGM",15,0.00809405396616611,-0.0425317835358688,0.0392040930988009,0.351285001747174,0.339199492989442,-0.0465322271062988,"logarithmic"
"80","Exp2","LGM",16,0.0148898428088491,-0.0166972672687304,0.0509673731549841,0.214397628599679,0.222832362488831,-0.0183778795160593,"logarithmic"
"81","Exp2","PIM",1,0.00370296840645789,0.0545746068347905,0.0294596648470294,0.622263418146527,0.629324660759969,0.0463719981154542,"logarithmic"
"82","Exp2","PIM",2,-0.00691749768166316,0.0275334861758027,0.0229629157694686,0.317834770883598,0.343491923881475,0.0223289224424674,"logarithmic"
"83","Exp2","PIM",3,0.0256559360627938,-0.0369322392584228,0.0426006487721108,0.229155690221899,0.23672414823802,-0.0379275323133814,"logarithmic"
"84","Exp2","PIM",4,-0.0145300418401093,0.0257788397957163,0.0246119008092129,0.2474633972111,0.262824080220753,0.0171741716076071,"logarithmic"
"85","Exp2","PIM",5,0.00334802096266711,0.0166152732890698,0.0343234345151585,0.284972171003457,0.271886409264791,0.0026457751782757,"logarithmic"
"86","Exp2","PIM",6,0.0224702066910739,-0.0920105415866273,0.0568628606683687,0.372957186519066,0.387792575564704,-0.0858168878173364,"logarithmic"
"87","Exp2","PIM",7,0.0113557740872675,-0.028243591969916,0.0411499704913766,0.212656823736368,0.193444671138043,-0.0263903373441721,"logarithmic"
"88","Exp2","PIM",8,0.048858040593711,-0.0810780321273293,0.0823197372444053,0.323618107381216,0.346928849268321,-0.0817485781905736,"logarithmic"
"89","Exp2","PIM",9,0.0197104680426308,0.0275510020107642,0.0265938270574865,0.449045351017046,0.437091025032458,0.0332241456339243,"logarithmic"
"90","Exp2","PIM",10,0.0102814573334756,-0.0263305304482101,0.0534664172006775,0.15445643041883,0.160821423920146,-0.0209693830298818,"logarithmic"
"91","Exp2","PIM",11,0.0219045500811964,-0.0421542288343931,0.0727084325453356,0.290221406391414,0.313266478921417,-0.0489900841848107,"logarithmic"
"92","Exp2","PIM",12,0.00208134997388519,0.00941506203775407,0.0357579456982805,0.182044712448702,0.168704754805881,0.00808392389781005,"logarithmic"
"93","Exp2","PIM",13,0.0194597728612547,-0.0987245903924202,0.0705422494922228,0.506220194199042,0.509879436483782,-0.0873060284653754,"logarithmic"
"94","Exp2","PIM",14,0.0166231739302134,-0.0287750325339962,0.0540960686218304,0.197040193362259,0.199954683665995,-0.0296343861966313,"logarithmic"
"95","Exp2","PIM",15,0.0081673272215117,-0.0425058234445243,0.0392276737182647,0.351190201891546,0.339108393494062,-0.046513574423081,"logarithmic"
"96","Exp2","PIM",16,0.0148343205792109,-0.0167314079733643,0.050936059332212,0.214404703064073,0.222829098767067,-0.0184011402406855,"logarithmic"
