"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,2,5,2.4,2.4227748422436,1.51752605438196,9,1,"Exp1",0,-0.88247394561804,0,"2","2"
"2",2,2,10,2.4,2.42283020100149,2.81375699370801,9,2,"Exp1",0,0.41375699370801,0,"2","2"
"3",3,2,7,1.42704853800327,1.44631973104333,1.79796886225267,9,3,"Exp1",0,0.3709203242494,0,"2","2"
"4",4,2,2,1.42704853800327,1.44661860614178,1.50989805280187,9,4,"Exp1",0,0.0828495147985999,0,"2","2"
"5",5,2,10,2.4,2.4110139050008,2.40571877750517,9,5,"Exp1",0,0.00571877750516991,0,"2","2"
"6",6,2,8,1.69705627484772,1.71713446891408,1.77393911780564,9,6,"Exp1",0,0.07688284295792,0,"2","2"
"7",7,2,9,2.01815139660892,2.03468941559186,1.70986633036591,9,7,"Exp1",0,-0.30828506624301,0,"2","2"
"8",8,2,4,2.01815139660892,2.03470465480132,1.74996037805613,9,8,"Exp1",0,-0.26819101855279,0,"2","2"
"9",9,2,9,2.01815139660892,2.03475814753438,2.3498082969727,9,9,"Exp1",0,0.33165690036378,0,"2","2"
"10",10,2,7,1.42704853800327,1.44670817537008,1.62187669303057,9,10,"Exp1",0,0.1948281550273,0,"2","2"
"11",11,2,5,2.4,2.41113146461066,2.48600515023099,9,11,"Exp1",0,0.08600515023099,0,"2","2"
"12",12,2,6,1.2,1.21145086599063,0.773862921760156,9,12,"Exp1",0,-0.426137078239844,0,"2","2"
"13",13,2,2,1.42704853800327,1.44658843872821,1.71794466612118,9,13,"Exp1",0,0.29089612811791,0,"2","2"
"14",14,2,2,1.42704853800327,1.44661269706012,1.60595327471856,9,14,"Exp1",0,0.17890473671529,0,"2","2"
"15",15,2,5,2.4,2.41095979025886,2.14987920594285,9,15,"Exp1",0,-0.25012079405715,0,"2","2"
"16",16,2,4,2.01815139660892,2.03470589881726,1.67786150358006,9,16,"Exp1",0,-0.34028989302886,0,"2","2"
"17",17,2,4,2.01815139660892,2.03470123375519,1.71791138866502,9,17,"Exp1",0,-0.3002400079439,0,"2","2"
"18",18,2,1,1.2,1.21146268415396,1.44585138972252,9,18,"Exp1",0,0.24585138972252,0,"2","2"
"19",19,2,3,1.69705627484772,1.71708999530347,1.32581214098536,9,19,"Exp1",0,-0.37124413386236,0,"2","2"
"20",20,2,8,1.69705627484772,1.71710181346498,1.24589493031999,9,20,"Exp1",0,-0.45116134452773,0,"2","2"
"21",21,2,5,2.4,2.41109476610836,2.25392008434574,9,21,"Exp1",0,-0.14607991565426,0,"2","2"
"22",22,2,10,2.4,2.41104842647474,1.86977756975102,9,22,"Exp1",0,-0.53022243024898,0,"2","2"
"23",23,2,7,1.42704853800327,1.44659403680453,1.31784607777081,9,23,"Exp1",0,-0.10920246023246,0,"2","2"
"24",24,2,2,1.42704853800327,1.44667987398134,1.63791300588855,9,24,"Exp1",1,0.21086446788528,1,"2","2"
"25",25,2,10,2.4,2.41102074709488,1.70189684610705,9,25,"Exp1",1,-0.69810315389295,1,"2","2"
"26",26,2,8,1.69705627484772,1.71713975598686,1.5580085463971,9,26,"Exp1",1,-0.13904772845062,1,"2","2"
"27",27,2,9,2.01815139660892,2.03468537253684,1.56597678664184,9,27,"Exp1",1,-0.45217460996708,1,"2","2"
"28",28,2,4,2.01815139660892,2.03474477434975,1.64587471504092,9,28,"Exp1",1,-0.372276681568,1,"2","2"
"29",29,2,9,2.01815139660892,2.03470278877649,1.93420334702751,9,29,"Exp1",1,-0.08394804958141,1,"2","2"
"30",30,2,7,1.42704853800327,1.44665374962278,1.3591225636701,9,30,"Exp1",1,-0.0679259743331699,1,"2","2"
"31",31,2,5,2.4,2.41115136888584,1.88588012651599,9,31,"Exp1",1,-0.51411987348401,1,"2","2"
"32",32,2,6,1.2,1.21134512454228,1.23789341261727,9,32,"Exp1",1,0.0378934126172701,1,"2","2"
"33",33,2,2,1.42704853800327,1.44664970656777,1.45989665328307,9,33,"Exp1",1,0.0328481152797999,1,"2","2"
"34",34,2,2,1.42704853800327,1.44652157281052,1.36667312518875,9,34,"Exp1",1,-0.06037541281452,1,"2","2"
"35",35,2,5,2.4,2.41106584271256,2.73042837727189,9,35,"Exp1",1,0.33042837727189,1,"2","2"
"36",36,2,4,2.01815139660892,2.03472393706579,2.04595899719789,9,36,"Exp1",1,0.0278076005889702,1,"2","2"
"37",37,2,4,2.01815139660892,2.03468786057056,1.77857712439254,9,37,"Exp1",1,-0.23957427221638,1,"2","2"
"38",38,2,1,1.2,1.21141323447409,1.25394403167229,9,38,"Exp1",1,0.0539440316722901,1,"2","2"
"39",39,2,3,1.69705627484772,1.71710896656441,1.61391529487992,9,39,"Exp1",1,-0.0831409799678,1,"2","2"
"40",40,2,8,1.69705627484772,1.71722528215832,1.70193354460935,9,40,"Exp1",1,0.00487726976162994,1,"2","2"
"41",41,2,8,1.69705627484772,1.7171385119691,1.61389476859586,9,41,"Exp1",1,-0.08316150625186,1,"2","2"
"42",42,2,7,1.42704853800327,1.44663664438849,1.59786125477694,9,42,"Exp1",1,0.17081271677367,1,"2","2"
"43",43,2,6,1.2,1.2114303397102,1.43789372362335,9,43,"Exp1",1,0.23789372362335,1,"2","2"
"44",44,2,1,1.2,1.21141914355576,1.15564304796681,9,44,"Exp1",1,-0.0443569520331899,1,"2","2"
"45",45,2,10,2.4,2.41103785232917,1.5955308998291,9,45,"Exp1",1,-0.8044691001709,1,"2","2"
"46",46,2,9,2.01815139660892,2.03467853044276,1.81384220887594,9,46,"Exp1",1,-0.20430918773298,1,"2","2"
"47",47,2,7,1.42704853800327,1.44653961105723,1.42185367871389,9,47,"Exp1",1,-0.00519485928938002,1,"2","2"
"48",48,2,1,1.2,1.21142722966761,1.26995111012911,9,48,"Exp1",2,0.0699511101291102,1,"2","2"
"49",49,2,3,1.69705627484772,1.71716339230989,1.71788868535441,9,49,"Exp1",2,0.0208324105066899,1,"2","2"
"50",50,2,9,2.01815139660892,2.03471927200007,1.93382827588721,9,50,"Exp1",2,-0.0843231207217099,1,"2","2"
"51",51,2,10,2.4,2.41102976621914,2.34200488898932,9,51,"Exp1",2,-0.0579951110106798,1,"2","2"
"52",52,2,1,1.2,1.21142878468891,1.24580909314318,9,52,"Exp1",2,0.04580909314318,1,"2","2"
"53",53,2,4,2.01815139660892,2.03467417638603,1.91783799165933,9,53,"Exp1",2,-0.10031340494959,1,"2","2"
"54",54,2,3,1.69705627484772,1.71716370331342,1.96780642473095,9,54,"Exp1",2,0.27075014988323,1,"2","2"
"55",55,2,6,1.2,1.21139208618479,1.26992591878661,9,55,"Exp1",2,0.0699259187866101,1,"2","2"
"56",56,2,2,1.42704853800327,1.44664441949499,1.62183688448567,9,56,"Exp1",2,0.1947883464824,1,"2","2"
"57",57,2,3,1.69705627484772,1.71715375117856,1.65386503659101,9,57,"Exp1",2,-0.0431912382567101,1,"2","2"
"58",58,2,5,2.4,2.41108108192202,1.93005144010749,9,58,"Exp1",2,-0.46994855989251,1,"2","2"
"59",59,2,6,1.2,1.21145522005099,1.27786119257871,9,59,"Exp1",2,0.07786119257871,1,"2","2"
"60",60,2,8,1.69705627484772,1.71714877510749,1.80939982397467,9,60,"Exp1",2,0.11234354912695,1,"2","2"
"61",61,2,5,2.4,2.41106397668773,1.54981856011364,9,61,"Exp1",2,-0.85018143988636,1,"2","2"
"62",62,2,1,1.2,1.21143376075997,1.34186866912205,9,62,"Exp1",2,0.14186866912205,1,"2","2"
"63",63,2,10,2.4,2.41100644089965,1.41985827535609,9,63,"Exp1",2,-0.98014172464391,1,"2","2"
"64",64,2,10,2.4,2.41106490969833,2.16595563835654,9,64,"Exp1",2,-0.23404436164346,1,"2","2"
"65",65,2,3,1.69705627484772,1.71717023440578,1.7018956020911,9,65,"Exp1",2,0.00483932724337999,1,"2","2"
"66",66,2,4,2.01815139660892,2.03469905672682,1.62985053135344,9,66,"Exp1",2,-0.38830086525548,1,"2","2"
"67",67,2,7,1.42704853800327,1.44666494577541,1.26181865963372,9,67,"Exp1",2,-0.16522987836955,1,"2","2"
"68",68,2,7,1.42704853800327,1.44665095058372,1.52585163852564,9,68,"Exp1",2,0.09880310052237,1,"2","2"
"69",69,2,8,1.69705627484772,1.7171245167774,1.30990365087928,9,69,"Exp1",2,-0.38715262396844,1,"2","2"
"70",70,2,7,1.42704853800327,1.44656697943356,1.46990477049621,9,70,"Exp1",2,0.04285623249294,1,"2","2"
"71",71,2,8,1.69705627484772,1.71717334444838,1.66186468826345,9,71,"Exp1",2,-0.03519158658427,1,"2","2"
"72",72,2,9,2.01815139660892,2.03471305191488,2.04585138972107,9,72,"Exp1",3,0.02769999311215,1,"2","2"
"73",73,2,3,1.69705627484772,1.71716494733118,1.78331714037995,9,73,"Exp1",3,0.0862608655322299,1,"2","2"
"74",74,2,2,1.42704853800327,1.44649638146439,1.65398663925953,9,74,"Exp1",3,0.22693810125626,1,"2","2"
"75",75,2,2,1.42704853800327,1.44662762526423,1.52584759547244,9,75,"Exp1",3,0.0987990574691699,1,"2","2"
"76",76,2,10,2.4,2.41108014890779,2.01383474477552,9,76,"Exp1",3,-0.38616525522448,1,"2","2"
"77",77,2,8,1.69705627484772,1.71707848814549,1.37397519429942,9,77,"Exp1",3,-0.3230810805483,1,"2","2"
"78",78,2,5,2.4,2.41116847412195,2.05376893627181,9,78,"Exp1",3,-0.34623106372819,1,"2","2"
"79",79,2,6,1.2,1.2114281626782,1.48590003079153,9,79,"Exp1",3,0.28590003079153,1,"2","2"
"80",80,2,4,2.01815139660892,2.03469190362739,1.64591110253969,9,80,"Exp1",3,-0.37224029406923,1,"2","2"
"81",81,2,1,1.2,1.21138711011736,1.32583795434039,9,81,"Exp1",3,0.12583795434039,1,"2","2"
"82",82,2,10,2.4,2.4110621106629,1.83799697703944,9,82,"Exp1",3,-0.56200302296056,1,"2","2"
"83",83,2,4,2.01815139660892,2.03470123375155,1.66188397052974,9,83,"Exp1",3,-0.35626742607918,1,"2","2"
"84",84,2,9,2.01815139660892,2.03469905672318,2.06191227191812,9,84,"Exp1",3,0.0437608753092,1,"2","2"
"85",85,2,6,1.2,1.21141136845108,1.26190760685495,9,85,"Exp1",3,0.06190760685495,1,"2","2"
"86",86,2,1,1.2,1.21147667934565,1.3978304653574,9,86,"Exp1",3,0.1978304653574,1,"2","2"
"87",87,2,3,1.69705627484772,1.71711549765314,1.53383760601355,9,87,"Exp1",3,-0.16321866883417,1,"2","2"
"88",88,2,9,2.01815139660892,2.03469905672318,2.41389321357565,9,88,"Exp1",3,0.39574181696673,1,"2","2"
"89",89,2,5,2.4,2.41103598630434,2.50185797057566,9,89,"Exp1",3,0.10185797057566,1,"2","2"
"90",90,2,1,1.2,1.2114365597954,1.11788059924584,9,90,"Exp1",3,-0.0821194007541599,1,"2","2"
"91",91,2,2,1.42704853800327,1.44670102226883,1.72588553799142,9,91,"Exp1",3,0.29883699998815,1,"2","2"
"92",92,2,2,1.42704853800327,1.44653276896133,1.44600378181349,9,92,"Exp1",3,0.0189552438102201,1,"2","2"
"93",93,2,7,1.42704853800327,1.44667303188908,1.39782082422244,9,93,"Exp1",3,-0.0292277137808301,1,"2","2"
"94",94,2,8,1.69705627484772,1.71715157414656,1.50190368820404,9,94,"Exp1",3,-0.19515258664368,1,"2","2"
"95",95,2,6,1.2,1.21143531577763,1.4138652231959,9,95,"Exp1",3,0.2138652231959,1,"2","2"
"96",96,2,9,2.01815139660892,2.03468506153149,1.83799262298271,9,96,"Exp1",4,-0.18015877362621,1,"2","2"
"97",97,2,6,1.2,1.21138990915642,1.54978745968765,9,97,"Exp1",4,0.34978745968765,1,"2","2"
"98",98,2,4,2.01815139660892,2.03467946345336,2.12059535546359,9,98,"Exp1",4,0.10244395885467,1,"2","2"
"99",99,2,3,1.69705627484772,1.71714628707559,1.56596403546791,9,99,"Exp1",4,-0.13109223937981,1,"2","2"
"100",100,2,5,2.4,2.41108761301075,1.51786380501289,9,100,"Exp1",4,-0.88213619498711,1,"2","2"
"101",101,2,2,1.42704853800327,1.44663508936719,1.81385744808722,9,101,"Exp1",4,0.38680891008395,1,"2","2"
"102",102,2,6,1.2,1.21141789953981,1.79799405360245,9,102,"Exp1",4,0.59799405360245,1,"2","2"
"103",103,2,8,1.69705627484772,1.71716681335965,1.84585481077011,9,103,"Exp1",4,0.14879853592239,1,"2","2"
"104",104,2,1,1.2,1.2114303397102,1.52590264322498,9,104,"Exp1",4,0.32590264322498,1,"2","2"
"105",105,2,9,2.01815139660892,2.03465955918364,1.7499662871378,9,105,"Exp1",4,-0.26818510947112,1,"2","2"
"106",106,2,5,2.4,2.41105091451027,2.10994999051763,9,106,"Exp1",4,-0.29005000948237,1,"2","2"
"107",107,2,2,1.42704853800327,1.44664006543462,1.41394297426086,9,107,"Exp1",4,-0.01310556374241,1,"2","2"
"108",108,2,4,2.01815139660892,2.03469470266646,2.0698802011575,9,108,"Exp1",4,0.05172880454858,1,"2","2"
"109",109,2,3,1.69705627484772,1.71715281816432,1.78191077910014,9,109,"Exp1",4,0.08485450425242,1,"2","2"
"110",110,2,2,1.42704853800327,1.44661891714713,1.4778758097782,9,110,"Exp1",4,0.0508272717749301,1,"2","2"
"111",111,2,8,1.69705627484772,1.71712140673117,1.83799822105721,9,111,"Exp1",4,0.14094194620949,1,"2","2"
"112",112,2,4,2.01815139660892,2.0346763534144,1.77388002699445,9,112,"Exp1",4,-0.24427136961447,1,"2","2"
"113",113,2,9,2.01815139660892,2.0346779084357,1.7578866327276,9,113,"Exp1",4,-0.26026476388132,1,"2","2"
"114",114,2,6,1.2,1.21141167945461,1.65392630442875,9,114,"Exp1",4,0.45392630442875,1,"2","2"
"115",115,2,7,1.42704853800327,1.44667800795651,1.58980375630927,9,115,"Exp1",4,0.162755218306,1,"2","2"
"116",116,2,1,1.2,1.21140856941201,1.44587938010591,9,116,"Exp1",4,0.24587938010591,1,"2","2"
"117",117,2,10,2.4,2.41105931162383,1.91794964218934,9,117,"Exp1",4,-0.48205035781066,1,"2","2"
"118",118,2,1,1.2,1.21145553105453,1.27787456576334,9,118,"Exp1",4,0.07787456576334,1,"2","2"
"119",119,2,6,1.2,1.21138990915642,1.37394720391603,9,119,"Exp1",4,0.17394720391603,1,"2","2"
"120",120,2,3,1.69705627484772,1.71714659807913,1.62985084235697,9,120,"Exp1",5,-0.0672054324907501,1,"2","2"
"121",121,2,3,1.69705627484772,1.71713042585543,1.68583067684085,9,121,"Exp1",5,-0.0112255980068701,1,"2","2"
"122",122,2,7,1.42704853800327,1.44661705111866,1.38986875620321,9,122,"Exp1",5,-0.0371797818000601,1,"2","2"
"123",123,2,10,2.4,2.41096694335647,2.02977122526499,9,123,"Exp1",5,-0.37022877473501,1,"2","2"
"124",124,2,5,2.4,2.41102665617291,1.55793670441562,9,124,"Exp1",5,-0.84206329558438,1,"2","2"
"125",125,2,10,2.4,2.41115541194085,1.56589561453075,9,125,"Exp1",5,-0.83410438546925,1,"2","2"
"126",126,2,8,1.69705627484772,1.71712482778094,1.70992822021799,9,126,"Exp1",5,0.0128719453702699,1,"2","2"
"127",127,2,4,2.01815139660892,2.03466920031497,1.8619738507623,9,127,"Exp1",5,-0.15617754584662,1,"2","2"
"128",128,2,9,2.01815139660892,2.03463250181085,1.63796712063049,9,128,"Exp1",5,-0.38018427597843,1,"2","2"
"129",129,2,2,1.42704853800327,1.44663104631036,1.38992598098775,9,129,"Exp1",5,-0.03712255701552,1,"2","2"
"130",130,2,5,2.4,2.41103474228657,1.58171266938371,9,130,"Exp1",5,-0.81828733061629,1,"2","2"
"131",131,2,9,2.01815139660892,2.03468848258126,1.78189087482679,9,131,"Exp1",5,-0.23626052178213,1,"2","2"
"132",132,2,7,1.42704853800327,1.44660740998734,1.58197484597622,9,132,"Exp1",5,0.15492630797295,1,"2","2"
"133",133,2,4,2.01815139660892,2.03470838685098,1.55799175216816,9,133,"Exp1",5,-0.46015964444076,1,"2","2"
"134",134,2,10,2.4,2.41107766087589,1.85393594556444,9,134,"Exp1",5,-0.54606405443556,1,"2","2"
"135",135,2,3,1.69705627484772,1.71710150246145,1.82981787590325,9,135,"Exp1",5,0.13276160105553,1,"2","2"
"136",136,2,5,2.4,2.41103629730787,1.78182089886832,9,136,"Exp1",5,-0.61817910113168,1,"2","2"
"137",137,2,1,1.2,1.2114250526356,1.40596602589358,9,137,"Exp1",5,0.20596602589358,1,"2","2"
"138",138,2,8,1.69705627484772,1.71716836837732,1.68588572459339,9,138,"Exp1",5,-0.01117055025433,1,"2","2"
"139",139,2,7,1.42704853800327,1.44662886928199,1.44587440404212,9,139,"Exp1",5,0.0188258660388501,1,"2","2"
"140",140,2,6,1.2,1.21140950242261,1.18980655535051,9,140,"Exp1",5,-0.01019344464949,1,"2","2"
"141",141,2,3,1.69705627484772,1.71702810545685,1.82192365467563,9,141,"Exp1",5,0.12486737982791,1,"2","2"
"142",142,2,4,2.01815139660892,2.03469408065575,1.76590618867704,9,142,"Exp1",5,-0.25224520793188,1,"2","2"
"143",143,2,7,1.42704853800327,1.4466095870157,1.6139180939208,9,143,"Exp1",5,0.18686955591753,1,"2","2"
"144",144,2,6,1.2,1.21140203831965,1.48592708816068,9,144,"Exp1",6,0.28592708816068,1,"2","2"
"145",145,2,7,1.42704853800327,1.44651130967031,1.41389103654728,9,145,"Exp1",6,-0.0131575014559899,1,"2","2"
"146",146,2,5,2.4,2.41112400051134,1.44587222701011,9,146,"Exp1",6,-0.95412777298989,1,"2","2"
"147",147,2,4,2.01815139660892,2.03465987018717,1.92588491598144,9,147,"Exp1",6,-0.09226648062748,1,"2","2"
"148",148,2,9,2.01815139660892,2.03468506153149,1.8059657148915,9,148,"Exp1",6,-0.21218568171742,1,"2","2"
"149",149,2,5,2.4,2.41103225425104,2.01400921816821,9,149,"Exp1",6,-0.38599078183179,1,"2","2"
"150",150,2,5,2.4,2.41103194324751,2.17385794569418,9,150,"Exp1",6,-0.22614205430582,1,"2","2"
"151",151,2,6,1.2,1.21142691866044,1.63790305375369,9,151,"Exp1",6,0.43790305375369,1,"2","2"
"152",152,2,3,1.69705627484772,1.71715281816432,1.93394801252725,9,152,"Exp1",6,0.23689173767953,1,"2","2"
"153",153,2,7,1.42704853800327,1.44665996970798,1.42190965948248,9,153,"Exp1",6,-0.00513887852078998,1,"2","2"
"154",154,2,8,1.69705627484772,1.71709901442591,1.4219494680292,9,154,"Exp1",6,-0.27510680681852,1,"2","2"
"155",155,2,5,2.4,2.41106459869843,1.81388326144224,9,155,"Exp1",6,-0.58611673855776,1,"2","2"
"156",156,2,10,2.4,2.41103598630434,1.91783550362379,9,156,"Exp1",6,-0.48216449637621,1,"2","2"
"157",157,2,7,1.42704853800327,1.44664597451629,1.67781547495179,9,157,"Exp1",6,0.25076693694852,1,"2","2"
"158",158,2,2,1.42704853800327,1.44654272109983,1.98987124423729,9,158,"Exp1",6,0.56282270623402,1,"2","2"
"159",159,2,1,1.2,1.21139208618479,1.48579739938214,9,159,"Exp1",6,0.28579739938214,1,"2","2"
"160",160,2,9,2.01815139660892,2.03469905672682,1.62992330635097,9,160,"Exp1",6,-0.38822809025795,1,"2","2"
"161",161,2,4,2.01815139660892,2.03467355437169,1.98982801464444,9,161,"Exp1",6,-0.0283233819644799,1,"2","2"
"162",162,2,10,2.4,2.4110428283966,2.10192576950431,9,162,"Exp1",6,-0.29807423049569,1,"2","2"
"163",163,2,4,2.01815139660892,2.03470496580485,2.05383486917708,9,163,"Exp1",6,0.0356834725681598,1,"2","2"
"164",164,2,1,1.2,1.21143469376693,1.37387629494697,9,164,"Exp1",6,0.17387629494697,1,"2","2"
"165",165,2,10,2.4,2.41102261311971,2.32592970059704,9,165,"Exp1",6,-0.0740702994029601,1,"2","2"
"166",166,2,2,1.42704853800327,1.44658097462525,1.6700018038282,9,166,"Exp1",6,0.24295326582493,1,"2","2"
"167",167,2,3,1.69705627484772,1.7171322918839,1.91787531217051,9,167,"Exp1",6,0.22081903732279,1,"2","2"
"168",168,2,3,1.69705627484772,1.71714473205429,1.79781802518482,9,168,"Exp1",7,0.1007617503371,1,"2","2"
"169",169,2,6,1.2,1.21142225360018,1.48585991124128,9,169,"Exp1",7,0.28585991124128,1,"2","2"
"170",170,2,1,1.2,1.21138648810665,1.26191009488684,9,170,"Exp1",7,0.0619100948868401,1,"2","2"
"171",171,2,10,2.4,2.41103318726528,1.98196396082858,9,171,"Exp1",7,-0.41803603917142,1,"2","2"
